name,class
fake_pure_2731.png,1
new_dc317_broken_000_top_235.png,2
dc354_discolored_005_top_158.png,1
new_dc354_discolored_001_top_013.png,2
new_dc317_broken_000_bottom_276.png,2
fake_broken_4940.png,2
fake_discolored_7026.png,0
new_dc317_broken_000_bottom_195.png,1
new_dc354_silkcut_000_top_128.png,3
new_dc354_broken_000_bottom_284.png,2
dc354_discolored_003_top_162.png,1
dc354_discolored_000_bottom_107.png,1
dc354_silkcut_004_top_134.png,3
fake_discolored_9244.png,0
fake_7557.png,3
fake_discolored_4657.png,0
new_dc317_silkcut_000_top_284.png,2
fake_discolored_3433.png,0
new_dc317_discolored_001_bottom_013.png,1
fake_1515.png,3
fake_discolored_2048.png,0
dc354_discolored_004_top_205.png,1
new_dc354_broken_000_top_159.png,1
fake_discolored_800.png,0
new_dc354_discolored_002_top_085.png,1
fake_pure_2214.png,1
dc354_silkcut_000_top_077.png,3
dc354_silkcut_003_bottom_062.png,2
dc354_silkcut_001_top_169.png,3
fake_pure_1129.png,1
new_dc317_silkcut_001_bottom_122.png,0
new_dc354_discolored_001_top_261.png,1
fake_broken_1614.png,2
fake_discolored_1551.png,0
fake_discolored_8150.png,0
new_dc354_discolored_000_bottom_232.png,1
fake_discolored_9344.png,0
fake_discolored_6246.png,0
new_dc354_broken_002_top_032.png,2
dc354_silkcut_001_bottom_261.png,0
new_dc354_discolored_002_bottom_062.png,1
fake_pure_4340.png,1
fake_1318.png,3
new_dc317_silkcut_000_top_092.png,1
fake_discolored_595.png,0
new_dc317_discolored_001_top_083.png,2
dc354_silkcut_004_bottom_228.png,3
fake_discolored_8341.png,0
fake_pure_4546.png,1
dc354_discolored_005_bottom_225.png,1
new_dc354_broken_000_bottom_199.png,2
new_dc317_discolored_000_bottom_250.png,1
fake_discolored_6116.png,0
fake_3340.png,3
fake_pure_3347.png,1
new_dc354_broken_000_top_092.png,1
fake_26.png,3
fake_discolored_2243.png,0
fake_5520.png,3
new_dc354_broken_002_top_043.png,2
dc354_discolored_002_bottom_236.png,1
new_dc317_silkcut_001_bottom_005.png,0
fake_discolored_1647.png,0
dc354_discolored_001_bottom_046.png,0
new_dc354_broken_001_bottom_245.png,2
fake_5227.png,3
fake_broken_3551.png,2
new_dc317_broken_000_top_137.png,2
fake_726.png,3
fake_discolored_9110.png,0
new_dc354_broken_000_top_263.png,0
fake_742.png,3
fake_pure_1717.png,1
dc354_discolored_005_top_054.png,1
new_dc354_discolored_002_top_268.png,1
dc354_broken_000_bottom_076.png,1
new_dc354_broken_000_bottom_197.png,2
fake_discolored_9453.png,0
fake_277.png,3
fake_discolored_7216.png,0
fake_discolored_2737.png,0
fake_4145.png,3
new_dc317_discolored_002_top_157.png,1
new_dc354_broken_002_top_182.png,1
fake_5143.png,3
fake_discolored_3143.png,0
new_dc354_broken_000_bottom_216.png,1
new_dc317_silkcut_001_top_217.png,2
new_dc354_broken_000_top_170.png,1
new_dc354_broken_000_top_283.png,2
fake_3650.png,3
dc354_silkcut_004_bottom_084.png,2
dc354_broken_004_bottom_111.png,2
new_dc354_broken_002_top_292.png,2
fake_discolored_2730.png,0
fake_9551.png,3
fake_pure_1150.png,1
fake_broken_1638.png,2
fake_9526.png,3
dc354_silkcut_003_bottom_006.png,1
new_dc317_silkcut_001_top_018.png,0
dc354_silkcut_000_top_058.png,2
dc354_discolored_006_top_010.png,1
fake_discolored_4949.png,0
dc354_silkcut_001_top_026.png,0
dc354_broken_004_top_091.png,2
dc354_discolored_000_top_284.png,3
fake_broken_4047.png,2
new_dc354_discolored_000_top_018.png,0
new_dc354_broken_000_bottom_086.png,2
dc354_silkcut_003_bottom_100.png,0
