name,class
fake_pure_3910.png,1
fake_pure_3559.png,1
fake_pure_2719.png,1
fake_pure_3225.png,1
fake_pure_923.png,1
fake_pure_1614.png,1
fake_pure_4347.png,1
fake_pure_2333.png,1
fake_pure_1651.png,1
fake_pure_1937.png,1
fake_pure_2662.png,1
fake_pure_4856.png,1
fake_pure_621.png,1
fake_pure_451.png,1
fake_pure_1042.png,1
fake_pure_1242.png,1
fake_pure_2111.png,1
fake_pure_2440.png,1
fake_pure_313.png,1
fake_pure_531.png,1
fake_pure_233.png,1
fake_pure_4019.png,1
fake_pure_751.png,1
fake_pure_4725.png,1
fake_pure_843.png,1
fake_pure_4232.png,1
fake_pure_4040.png,1
fake_pure_1734.png,1
fake_pure_4140.png,1
fake_pure_3434.png,1
fake_pure_112.png,1
fake_pure_4423.png,1
fake_pure_1319.png,1
fake_pure_957.png,1
fake_pure_711.png,1
fake_pure_230.png,1
fake_pure_1751.png,1
fake_pure_304.png,1
fake_pure_4246.png,1
fake_pure_2237.png,1
fake_pure_653.png,1
fake_pure_1226.png,1
fake_pure_1021.png,1
fake_pure_2961.png,1
fake_pure_4322.png,1
fake_pure_3116.png,1
fake_pure_2610.png,1
fake_pure_542.png,1
fake_pure_3620.png,1
fake_pure_26.png,1
fake_pure_3016.png,1
fake_pure_3528.png,1
fake_pure_206.png,1
fake_pure_1110.png,1
fake_pure_1824.png,1
fake_pure_387.png,1
fake_pure_4255.png,1
fake_pure_2160.png,1
fake_pure_1736.png,1
fake_pure_742.png,1
fake_pure_22.png,1
fake_pure_4626.png,1
fake_pure_423.png,1
fake_pure_4346.png,1
fake_pure_1656.png,1
fake_pure_326.png,1
fake_pure_1348.png,1
fake_pure_2739.png,1
fake_pure_760.png,1
fake_pure_1247.png,1
fake_pure_2420.png,1
fake_pure_818.png,1
fake_pure_1446.png,1
fake_pure_3724.png,1
fake_pure_4431.png,1
fake_pure_311.png,1
fake_pure_3830.png,1
fake_pure_2861.png,1
fake_pure_341.png,1
fake_pure_1841.png,1
fake_pure_430.png,1
fake_pure_3930.png,1
fake_pure_07.png,1
fake_pure_371.png,1
fake_pure_1531.png,1
fake_pure_4962.png,1
fake_pure_4234.png,1
fake_pure_465.png,1
fake_pure_1815.png,1
fake_pure_522.png,1
fake_pure_4458.png,1
fake_pure_2746.png,1
fake_pure_4542.png,1
fake_pure_2730.png,1
fake_pure_4257.png,1
fake_pure_1941.png,1
fake_pure_050.png,1
fake_pure_3837.png,1
fake_pure_546.png,1
fake_pure_4816.png,1
fake_pure_1062.png,1
fake_pure_347.png,1
fake_pure_3525.png,1
fake_pure_2359.png,1
fake_pure_557.png,1
fake_pure_4442.png,1
fake_pure_231.png,1
fake_pure_3315.png,1
fake_pure_2055.png,1
fake_pure_1554.png,1
fake_pure_2354.png,1
fake_pure_1938.png,1
fake_pure_64.png,1
fake_pure_53.png,1
fake_pure_037.png,1
fake_pure_1846.png,1
fake_pure_839.png,1
fake_pure_235.png,1
fake_pure_50.png,1
fake_pure_1436.png,1
fake_pure_829.png,1
fake_pure_1739.png,1
fake_pure_4653.png,1
fake_pure_1560.png,1
fake_pure_042.png,1
fake_pure_4628.png,1
fake_pure_2832.png,1
fake_pure_2153.png,1
fake_pure_049.png,1
fake_pure_37.png,1
fake_pure_1241.png,1
fake_pure_71.png,1
fake_pure_374.png,1
fake_pure_4540.png,1
fake_pure_3720.png,1
fake_pure_404.png,1
fake_pure_1826.png,1
fake_pure_3437.png,1
fake_pure_2136.png,1
fake_pure_2747.png,1
